Date,Close,High,Low,Open,Volume
,HSTM,HSTM,HSTM,HSTM,HSTM
2018-01-02,22.31739616394043,22.629991206315722,21.805877824940453,21.976384540190814,131000
2018-01-03,21.739566802978516,22.31739282096615,21.644840663500776,22.31739282096615,81500
2018-01-04,22.02374267578125,22.137414400691107,21.55958659533832,21.78692823840726,78000
2018-01-05,22.374229431152344,22.402646008069983,21.92901712076723,22.0332160541341,70400
2018-01-08,22.762605667114258,22.838386219119492,22.00479834031104,22.31739334317649,122600
2018-01-09,22.345813751220703,22.791024308723348,22.260560396650895,22.73418934126049,66800
2018-01-10,22.194252014160156,22.336340332227884,21.919546366711693,22.25108698003705,40700
2018-01-11,23.11309051513672,23.35937776587661,22.071106548699014,22.194251077444413,119400
2018-01-12,22.989948272705078,23.16045497344717,22.459482580007247,23.12256379250406,86200
2018-01-16,22.999422073364258,23.5961937452986,22.885750332316704,23.122564803310667,107400
2018-01-17,23.150981903076172,23.245708047557233,22.904694650125784,23.132036312829772,66900
2018-01-18,22.857330322265625,23.1604543412839,22.772078780972468,23.1604543412839,42100
2018-01-19,23.368850708007812,23.397269093301222,22.705769505168956,22.838386829787282,75600
2018-01-22,23.16045379638672,23.39726824499292,22.971001514801415,23.359377065975515,71700
2018-01-23,23.150981903076172,23.293070216422297,22.999420794606845,23.103617927460178,49900
2018-01-24,23.236230850219727,23.397264723303618,23.046778597150233,23.302538596768873,91900
2018-01-25,23.075199127197266,23.416210685045723,22.809966309536684,23.416210685045723,83900
2018-01-26,23.236230850219727,23.274120216783274,22.828909770845726,23.132031930356447,39200
2018-01-29,22.677350997924805,23.22676041961384,22.677350997924805,23.16992365386097,58200
2018-01-30,22.374229431152344,22.791021551118174,22.317392663815422,22.431064391738445,68200
2018-01-31,22.27950668334961,22.63946389751591,22.118472764886793,22.374232836577928,70300
2018-02-01,22.336339950561523,22.336339950561523,21.843765436709212,22.137416670015952,65400
2018-02-02,22.07110595703125,22.336338790737308,21.758510956154872,22.251085444430032,134500
2018-02-05,20.95334243774414,22.08057787083026,20.943869643337855,22.004797322330766,103700
2018-02-06,21.199630737304688,21.275411296070484,20.034503968748957,20.67863962163373,140200
2018-02-07,21.45539093017578,21.777458758562172,20.726001918433013,21.13332310178939,71800
2018-02-08,20.839670181274414,21.483805730503015,20.801779004613557,21.464860142172586,100300
2018-02-09,21.27541160583496,21.483809500538392,20.536551598798614,20.83967383827517,399000
2018-02-12,21.057538986206055,21.284880625480458,20.830197346931648,21.284880625480458,106600
2018-02-13,21.23752212524414,21.635370514296035,21.01018044675035,21.01018044675035,194300
2018-02-14,21.464862823486328,21.767985047635143,21.123849417943426,21.17121339468604,176400
2018-02-15,21.99532699584961,22.004799791318764,21.436444710426446,21.588007631181927,112000
2018-02-16,22.686824798583984,22.86680247786608,21.985852443876894,21.985852443876894,132900
2018-02-20,22.42159080505371,23.046780769666046,22.355283052254034,22.686823623003182,181700
2018-02-21,24.050872802734375,26.220093837058158,23.037307336889036,23.037307336889036,661900
2018-02-22,23.34990692138672,24.524506502977964,23.340434125557227,24.06035034783916,329700
2018-02-23,23.132036209106445,23.823533989240957,23.008893486558886,23.520411773661497,162900
2018-02-26,23.4541015625,23.548827696651802,22.629986544155273,23.132033790434313,181700
2018-02-27,23.359378814697266,23.870898929220314,22.91416826841872,23.387797201087768,92800
2018-02-28,22.88574981689453,23.842480474973232,22.86680422602145,23.397269929961773,92000
2018-03-01,22.800493240356445,23.255176516504843,22.288975006377182,22.933108744212046,161900
2018-03-02,23.21728515625,23.387791821874327,22.071102463303458,22.59209525346119,132200
2018-03-05,23.859195709228516,23.99745203612797,23.059281143651233,23.138285028108232,120000
2018-03-06,24.16533660888672,24.510979325224632,23.474053059812164,23.888823942697403,105400
2018-03-07,24.155458450317383,24.264089491703785,23.71106233152052,23.898697252933104,168200
2018-03-08,24.145584106445312,24.362844301054913,23.977700629464838,24.15545794309031,108400
2018-03-09,25.034379959106445,25.06400523831458,24.086331468821577,24.293717841284366,178700
2018-03-12,24.668983459472656,25.459024106415857,24.54060286677992,25.044253284760952,196400
2018-03-13,24.659109115600586,25.241763442431292,23.385171303168104,24.817116877086768,112800
2018-03-14,24.25421714782715,24.886250159626822,24.145587974918897,24.757867659460697,123900
2018-03-15,24.392473220825195,24.570230547269407,24.12583440575711,24.3035936158025,82600
2018-03-16,24.659109115600586,24.757864437429724,24.303592594057225,24.402346032285266,318600
2018-03-19,24.25421714782715,24.94550260699508,23.77031807985013,24.550483151871124,99600
2018-03-20,24.16533660888672,24.866497763012344,23.987579273594132,24.244340496883847,81200
2018-03-21,24.530729293823242,24.688737060321206,24.175210877402247,24.175210877402247,70600
2018-03-22,24.096206665039062,25.172635736854925,24.08633094431768,24.32334259082744,66500
2018-03-23,24.056705474853516,24.688736527197413,24.017202592281464,24.145585077039517,96300
2018-03-26,24.629486083984375,24.64923564327065,23.95795209461813,24.412223979423963,95900
2018-03-27,24.23446273803711,24.807241304244293,24.16533269907336,24.688734549621685,84800
2018-03-28,24.392473220825195,24.560356709912377,23.651811101370193,24.224589731738014,72200
2018-03-29,24.520854949951172,24.66898700391132,24.03695590242736,24.53073067136202,260100
2018-04-02,23.88882064819336,24.57022838184527,23.73081289398993,24.47147494816888,60600
2018-04-03,23.928325653076172,24.135712042457218,23.276543086909438,24.036956708637735,73100
2018-04-04,24.283843994140625,24.422100330716525,23.29629442750978,23.592558544058505,86700
2018-04-05,24.431974411010742,24.49122685361949,23.474052073831036,24.382597689436984,56400
2018-04-06,24.027082443237305,24.629488320808285,23.533307627812288,24.254218406268468,44300
2018-04-09,24.036954879760742,24.441850022372556,23.75056462183468,24.145585927057,63300
2018-04-10,24.520854949951172,24.639361723280047,24.17521223497666,24.21471512062004,56500
2018-04-11,24.520854949951172,24.639361723280047,24.264091844072997,24.412223898033144,79900
2018-04-12,24.224584579467773,24.609728196916706,24.194957422894483,24.54060004851313,109800
2018-04-13,24.185087203979492,24.293718252517962,23.898698826379704,24.293718252517962,69100
2018-04-16,24.224584579467773,24.313464165586876,23.957945821110467,24.313464165586876,107000
2018-04-17,24.61960792541504,24.688736085077082,24.185085642909378,24.19496136337554,106400
2018-04-18,24.61960792541504,24.777615685671446,24.39247200549659,24.520852604354513,104900
2018-04-19,24.303598403930664,24.540610102818544,24.283846958122954,24.540610102818544,54200
2018-04-20,24.3134708404541,24.431975732079312,24.17521262208964,24.21471550836557,71600
2018-04-23,24.194961547851562,24.402346028418908,23.948074185118383,24.402346028418908,84100
2018-04-24,23.997453689575195,24.313471132778286,23.73081673841202,24.273968246027405,50100
2018-04-25,23.73081398010254,24.046829502972802,23.622182937765473,23.957949901715406,83700
2018-04-26,23.829570770263672,24.352972730892095,23.78019404422007,23.78019404422007,125700
2018-04-27,23.681434631347656,24.046828745405772,23.57280547603392,23.82956666757623,88600
2018-04-30,22.901273727416992,23.720939747631686,22.802518399424613,23.691312584153607,130000
2018-05-01,24.826995849609375,25.004755075465507,23.325921918871536,24.28384433380572,351800
2018-05-02,24.925748825073242,25.073880871398405,24.738113895140746,24.826993499656076,291500
2018-05-03,25.35039520263672,25.49852724777445,24.520853489544034,24.92574862526771,330800
2018-05-04,25.982425689697266,25.982425689697266,24.649233545850763,25.310891757472294,122800
2018-05-07,26.416948318481445,26.54532892077742,25.923173583556558,26.002177465800496,183300
2018-05-08,26.58483123779297,26.634207956793933,26.20956327602282,26.308316714024745,154500
2018-05-09,26.910720825195312,26.950223704847,26.436697570980876,26.723085914051733,81200
2018-05-10,27.276121139526367,27.54275810349619,26.574959934831817,27.019358014117195,97700
2018-05-11,27.098356246948242,27.443998916009516,27.009476649658172,27.246488281231354,65600
2018-05-14,26.683591842651367,27.305747289813052,26.653964675224064,27.088487046150544,72000
2018-05-15,26.52557945251465,27.137859071073017,26.486076569458685,26.653960055244262,99400
2018-05-16,27.029232025146484,27.15761263792301,26.565082530920797,26.565082530920797,112400
2018-05-17,27.058856964111328,27.276119067973177,26.71321424909578,26.950227795781664,78600
2018-05-18,27.355121612548828,27.453875054617743,26.950226472542536,27.11810807750016,82200
2018-05-21,27.43412208557129,27.661257987852608,27.236611458786964,27.51312595956483,66300
2018-05-22,27.197114944458008,27.473627607191855,27.05885672948984,27.473627607191855,71100
2018-05-23,27.157611846923828,27.483503113742866,26.94035163024488,27.157611846923828,134100
2018-05-24,27.058856964111328,27.37487251489082,27.058856964111328,27.147736573218218,202000
2018-05-25,27.11810874938965,27.473627177169952,27.058856305960003,27.068732027131812,343300
2018-05-29,28.293296813964844,28.50068321787194,26.960104423023786,27.029234480060456,451000
2018-05-30,27.789640426635742,28.79694129980788,27.681011269914006,28.392046183187894,248500
2018-05-31,27.50325584411621,28.17478985169814,27.4835044006929,27.799519961060557,190700
2018-06-01,27.552631378173828,27.799518759490084,27.32549543942717,27.62175954356618,263900
2018-06-04,27.5723819732666,28.174787767914854,27.19711399398484,27.720514020783057,191900
2018-06-05,27.71063995361328,28.006905949928957,27.582259340397393,27.582259340397393,232100
2018-06-06,27.6612606048584,28.18466249683477,27.582256723390373,27.76001592759371,226000
2018-06-07,27.384748458862305,28.24391739267774,27.20698923920385,27.67113873133454,187900
2018-06-08,27.5723819732666,27.947649952548364,27.305743157576277,27.364995599862624,215300
2018-06-11,27.651386260986328,27.93777652281798,27.39462316253074,27.572382375584702,119300
2018-06-12,28.283416748046875,28.44142451551967,27.690888561824472,27.7106381200577,213000
2018-06-13,28.392051696777344,28.708067275156548,28.155040012992938,28.27354491308443,124700
2018-06-14,27.592132568359375,27.75014033200744,26.31819285489559,26.31819285489559,212100
2018-06-15,27.977277755737305,28.016780640566324,27.31561950366101,27.473627275774643,355000
2018-06-18,28.3525447845459,28.38217194716549,26.920599162753337,27.927900088605423,122700
2018-06-19,27.868648529052734,28.658689324901683,27.740267912163002,28.25379414692462,202400
2018-06-20,27.98715591430664,28.10566081191168,27.720517069293226,27.88840057723485,210500
2018-06-21,27.61188316345215,27.997028749964638,27.453875393867964,27.997028749964638,99500
2018-06-22,27.592132568359375,27.70076172861672,27.246489879028815,27.6908878915397,366900
2018-06-25,27.562509536743164,27.57238525890125,26.989730836784098,27.47362992092181,229200
2018-06-26,27.453876495361328,27.76001820936462,27.444002657517206,27.493379381142887,177100
2018-06-27,26.9699764251709,27.46375117714049,26.900848261271346,27.46375117714049,148000
2018-06-28,27.009479522705078,27.157611572745264,26.75271642362152,26.950227079409245,140800
2018-06-29,26.9699764251709,27.098358915499663,26.782343375615312,27.098358915499663,94300
2018-07-02,27.444002151489258,27.463751710414616,26.723089568078507,26.871221619825484,170000
2018-07-03,27.651386260986328,27.997028965968898,27.414374604781447,27.45387560568166,117300
2018-07-05,27.6612606048584,27.99702757199779,27.592132444024017,27.651384884224758,434700
2018-07-06,28.234041213989258,28.31304510104689,27.700763563649303,27.700763563649303,236200
2018-07-09,30.32764434814453,30.456026838415305,28.174788012754576,28.313044340491228,550900
2018-07-10,29.744993209838867,30.505404930141594,29.507979660787235,30.505404930141594,201600
2018-07-11,28.787067413330078,29.142585834415836,28.27354122367313,28.83644601825931,194900
2018-07-12,29.033954620361328,29.389473039404496,28.6389352012029,28.885822573627063,150700
2018-07-13,29.024078369140625,29.13270941377486,28.747565722582404,29.11295797227752,81200
2018-07-16,28.925321578979492,29.112954600670808,28.589554646814825,29.033950727432117,109600
2018-07-17,28.68831443786621,29.12283677884343,28.65868915608228,28.93520183193942,73600
2018-07-18,28.421672821044922,28.688309731363464,28.19453502422398,28.688309731363464,78700
2018-07-19,28.73769187927246,28.856196768796178,28.33279672013079,28.41180060768035,81100
2018-07-20,28.787067413330078,29.033954787172704,28.71793925003033,28.747566412987872,90900
2018-07-23,28.796939849853516,28.935196160684054,28.431547633058248,28.66855925888244,95200
2018-07-24,26.92060089111328,29.903000976653196,25.854047455148176,29.103084486978407,397500
2018-07-25,27.523006439208984,28.471053091090695,26.881097732945992,26.96997734201006,252700
2018-07-26,28.00690460205078,28.155036651278873,27.542755128574566,27.562506570765297,222900
2018-07-27,27.592132568359375,28.085907300659862,27.276117041063245,27.91802381633365,201500
2018-07-30,27.206989288330078,27.64151161676853,27.16748828589092,27.60201061432937,145700
2018-07-31,27.730392456054688,27.750143899950498,26.900850648444397,27.236617660267676,169000
2018-08-01,28.57968521118164,28.668564823567728,27.760019139755418,27.760019139755418,280100
2018-08-02,28.73769187927246,28.875948211583886,28.293293834555378,28.579684104173335,140300
2018-08-03,28.638938903808594,28.984581646609325,28.234043711373893,28.747569964472042,105300
2018-08-06,28.97470474243164,29.004331907840744,28.451302788478852,28.638937735533826,89600
2018-08-07,29.033954620361328,29.093207062334802,28.60930803841558,28.984577899316964,107000
2018-08-08,29.261089324951172,29.359844646503436,28.441423358189223,29.053704844932394,132200
2018-08-09,29.389476776123047,29.685740907260012,29.11296220575418,29.221593266185057,98200
2018-08-10,29.665990829467773,30.149889906478755,28.994456801419428,29.261093761355138,122500
2018-08-13,29.399351119995117,29.873374461031464,29.241343339649667,29.675863793798992,58100
2018-08-14,29.507976531982422,29.932623093905104,29.389471653623254,29.498102695120057,80400
2018-08-15,29.152463912963867,29.42897658852446,28.86607363201745,29.42897658852446,57000
2018-08-16,29.8338680267334,29.87337090892331,29.152460261367274,29.241339862693483,69300
2018-08-17,29.8338680267334,29.88324662947079,29.498102946124625,29.774615587049627,50800
2018-08-20,30.06100845336914,30.070884174777756,29.488229796878198,29.942501680067,92200
2018-08-21,30.337522506713867,30.39677683787717,30.00175549786054,30.120262276585798,102400
2018-08-22,30.564659118652344,30.623911563842135,30.179513515915513,30.347397013620984,95500
2018-08-23,30.574533462524414,30.84117229569326,30.495529573096753,30.554783902868476,87100
2018-08-24,30.90042495727539,30.96955312134248,30.564657974434212,30.564657974434212,57200
2018-08-27,30.811542510986328,31.167059019647773,30.702911472550344,31.038678424442452,94800
2018-08-28,30.65353775024414,30.979429013792426,30.42639993099438,30.979429013792426,59000
2018-08-29,30.317771911621094,30.801670964660875,30.248641860957168,30.52515641280902,70300
2018-08-30,30.51527976989746,30.55478265479837,30.140011781344953,30.307895274971365,60200
2018-08-31,31.334945678710938,31.40407384342848,30.495528213709605,30.81154564093457,169300
2018-09-04,30.939926147460938,31.46332806711775,30.22889117664516,31.334945575691922,202600
2018-09-05,30.65353775024414,31.078182458090954,30.00175333954635,30.949801850342144,470100
2018-09-06,30.880674362182617,31.117686024171842,30.06100832478608,30.623911257460644,92700
2018-09-07,30.712791442871094,31.15718761109514,30.56465938679641,30.84117205584214,74700
2018-09-10,30.90042495727539,30.999178401027688,30.495527926765924,30.84117063070257,60900
2018-09-11,30.702913284301758,31.08805697624574,30.58440651868761,30.801668608380023,89800
2018-09-12,30.554786682128906,30.69304303030277,30.06101185739199,30.663415862722026,80600
2018-09-13,30.712791442871094,30.88067494204941,30.367148722962643,30.702915721319275,65400
2018-09-14,31.03868293762207,31.08805966212658,30.544908158171772,30.70291593690776,87500
2018-09-17,30.683164596557617,31.097935488030807,30.386900481334475,31.097935488030807,96700
2018-09-18,30.742414474487305,31.018929006901615,30.515278546219026,30.653536754226753,69100
2018-09-19,29.705488204956055,30.702913403165823,29.665987205332506,30.702913403165823,144100
2018-09-20,30.06100845336914,30.337521118405366,29.735117181289834,29.79436962614027,82200
2018-09-21,29.823997497558594,30.23876838854932,29.61661111026258,30.051133444538888,241600
2018-09-24,29.91287612915039,30.110384904734257,29.221590705603745,29.89312468651163,149900
2018-09-25,30.021501541137695,30.25851317235182,29.705486032852193,29.922746223898223,73300
2018-09-26,30.090635299682617,30.32764697501793,29.695615840790428,30.090635299682617,101100
2018-09-27,30.17951202392578,30.505403281760408,29.873372208045055,29.932624650305577,117100
2018-09-28,30.62390899658203,30.702912878079132,30.20913814782196,30.26839058804451,117100
2018-10-01,29.77461814880371,30.821420130087077,29.77461814880371,30.712790961920756,87700
2018-10-02,29.300596237182617,29.952378812035914,29.182089458299586,29.735118581618597,82700
2018-10-03,29.51785659790039,29.537608041734973,28.82657301610212,29.32034781035861,113500
2018-10-04,29.152463912963867,29.537607644552594,29.093209582256886,29.537607644552594,66900
2018-10-05,28.9450740814209,29.349969208440758,28.471050793729518,29.211712887097715,77600
2018-10-08,28.806821823120117,29.201841285244903,28.382175194985457,28.96482960797003,127900
2018-10-09,28.9450740814209,29.211712887097715,28.471050793729518,28.72781387879596,146400
2018-10-10,27.552631378173828,28.974703221963804,27.384747883534725,28.866072171432254,253200
2018-10-11,26.831722259521484,27.61188545102781,26.831722259521484,27.523007721424452,301700
2018-10-12,26.574954986572266,27.18723646140286,26.091055992342124,27.18723646140286,229800
2018-10-15,26.8810977935791,27.20698906634868,26.574957963668595,26.574957963668595,241700
2018-10-16,27.789640426635742,27.96739962585448,26.84159387560389,26.9996016341092,238500
2018-10-17,28.382173538208008,28.540181313834395,27.29586866807564,27.78964343780842,533200
2018-10-18,27.77976417541504,28.69818543142702,27.592131143026265,28.372294200287385,88500
2018-10-19,27.542755126953125,28.17478809181096,27.453875520701263,27.76989294493078,109100
2018-10-22,27.91802406311035,28.78706677085647,27.27611728216592,27.71063769423841,146900
2018-10-23,28.026657104492188,28.204416335677777,26.08118505078618,27.799521146244555,215400
2018-10-24,27.10823631286621,28.07603443450817,27.078609147819545,28.046407269461504,125900
2018-10-25,26.219438552856445,27.187238497394144,25.97255117709094,27.187238497394144,154200
2018-10-26,26.071308135986328,27.147737312388458,25.617036240272345,25.923176077975306,109500
2018-10-29,25.913299560546875,26.74284132025656,25.715790783797726,26.387322885066336,66000
2018-10-30,25.94292449951172,26.46632450242526,25.794792458755076,25.903421617389363,98100
2018-10-31,25.982425689697266,26.268815936393665,25.85404508905478,26.23918877458335,117100
2018-11-01,26.258941650390625,26.515704749304405,26.130559159133128,26.130559159133128,142300
2018-11-02,25.94292449951172,26.56507982413005,25.844169177806926,26.36757106432156,442600
2018-11-05,25.182514190673828,26.051556988861517,25.162762747087413,26.051556988861517,228200
2018-11-06,25.518280029296875,25.646660639530094,25.14301015273593,25.14301015273593,392600
2018-11-07,25.64666175842285,26.20956659782225,25.429401530241538,25.66641320196697,319300
2018-11-08,25.7849178314209,26.170061530437223,25.538030458492244,25.538030458492244,277400
2018-11-09,25.34052276611328,26.39720054427632,25.212142145981908,25.77504512062193,305900
2018-11-12,24.85662269592285,25.636785874982436,24.65911202892985,25.350397479804034,105900
2018-11-13,24.501102447509766,24.975127636723432,24.34309467897227,24.965251915739692,114700
2018-11-14,24.422101974487305,25.182515644038297,24.313472795695336,24.668989382762188,113600
2018-11-15,24.25421714782715,24.65911232477937,24.125836531262365,24.323345317023673,246300
2018-11-16,23.977705001831055,24.491229363059325,23.799945772189915,24.125837065331545,179600
2018-11-19,23.32592010498047,24.017203627374247,23.286417220705925,23.957951184563623,302700
2018-11-20,23.306169509887695,23.52342973049026,23.00990351786464,23.059282125002447,100800
2018-11-21,23.34566879272461,23.632059042229134,23.29629207282437,23.375295954825425,51500
2018-11-23,23.56293296813965,23.7308164677132,23.27654269326659,23.27654269326659,24400
