contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
AAPL260206C00110000,2026-02-04 20:23:32+00:00,110.0,167.0,168.45,170.0,0.0,0.0,5.0,6.0,9.593754003906252,True,REGULAR,USD,call,2026-02-06
AAPL260206C00120000,2026-02-04 19:49:21+00:00,120.0,155.22,158.45,159.9,0.0,0.0,1.0,3.0,8.69922331298828,True,REGULAR,USD,call,2026-02-06
AAPL260206C00125000,2026-01-21 17:00:05+00:00,125.0,121.1,153.4,155.05,0.0,0.0,,3.0,8.38672350830078,True,REGULAR,USD,call,2026-02-06
AAPL260206C00130000,2026-01-29 17:27:43+00:00,130.0,126.73,148.45,150.0,0.0,0.0,,,8.015629990234373,True,REGULAR,USD,call,2026-02-06
AAPL260206C00135000,2026-02-03 18:18:03+00:00,135.0,134.7,143.35,144.95,0.0,0.0,1.0,4.0,7.562500546875,True,REGULAR,USD,call,2026-02-06
AAPL260206C00140000,2026-01-07 14:49:51+00:00,140.0,122.87,138.45,140.0,0.0,0.0,,1.0,7.318360227050781,True,REGULAR,USD,call,2026-02-06
AAPL260206C00145000,2026-01-30 20:49:18+00:00,145.0,116.41,133.7,134.95,0.0,0.0,69.0,1.0,7.101563623046875,True,REGULAR,USD,call,2026-02-06
AAPL260206C00150000,2026-02-02 18:49:42+00:00,150.0,115.44,128.5,129.95,0.0,0.0,7.0,13.0,6.666017292480469,True,REGULAR,USD,call,2026-02-06
AAPL260206C00155000,2026-02-04 18:47:19+00:00,155.0,120.48,123.4,124.95,0.0,0.0,2.0,4.0,6.300783374023437,True,REGULAR,USD,call,2026-02-06
AAPL260206C00160000,2026-01-13 17:28:18+00:00,160.0,100.97,118.45,120.0,0.0,0.0,1.0,0.0,6.054689931640624,True,REGULAR,USD,call,2026-02-06
AAPL260206C00170000,2026-02-04 18:48:01+00:00,170.0,105.6,108.45,110.05,0.0,0.0,3.0,1.0,5.501956247558593,True,REGULAR,USD,call,2026-02-06
AAPL260206C00175000,2026-01-08 15:41:37+00:00,175.0,82.28,103.4,104.95,0.0,0.0,,1.0,5.152347309570313,True,REGULAR,USD,call,2026-02-06
AAPL260206C00180000,2026-02-04 19:20:31+00:00,180.0,95.15,98.45,100.0,0.0,0.0,1.0,1.0,4.929691337890624,True,REGULAR,USD,call,2026-02-06
AAPL260206C00185000,2026-01-23 18:53:24+00:00,185.0,62.94,93.4,95.0,0.0,0.0,1.0,1.0,4.644535444335938,True,REGULAR,USD,call,2026-02-06
AAPL260206C00190000,2026-01-30 19:45:47+00:00,190.0,68.17,88.7,89.95,0.0,0.0,2.0,29.0,4.488285639648437,True,REGULAR,USD,call,2026-02-06
AAPL260206C00195000,2026-02-05 20:51:59+00:00,195.0,81.27,83.4,84.95,0.0,0.0,1.0,2.0,4.115239230957031,True,REGULAR,USD,call,2026-02-06
AAPL260206C00200000,2026-02-06 16:43:12+00:00,200.0,79.45,78.5,80.05,2.149994,2.7813632,12.0,68.0,3.94531263671875,True,REGULAR,USD,call,2026-02-06
AAPL260206C00205000,2026-02-06 16:34:58+00:00,205.0,74.29,73.4,74.95,3.290001,4.6338043,1.0,11.0,3.6289071777343755,True,REGULAR,USD,call,2026-02-06
AAPL260206C00210000,2026-02-06 15:17:53+00:00,210.0,68.81,68.45,70.0,1.659996,2.4720714,2.0,30.0,3.425782685546875,True,REGULAR,USD,call,2026-02-06
AAPL260206C00212500,2026-01-26 14:54:47+00:00,212.5,40.72,65.9,67.45,0.0,0.0,,10.0,3.2744158764648432,True,REGULAR,USD,call,2026-02-06
AAPL260206C00215000,2026-02-06 15:14:50+00:00,215.0,64.29,63.4,64.95,4.450001,7.436498,1.0,29.0,3.1582052294921876,True,REGULAR,USD,call,2026-02-06
AAPL260206C00217500,2026-02-06 15:14:50+00:00,217.5,61.81,60.9,62.45,9.650002,18.500769,10.0,31.0,3.042971142578125,True,REGULAR,USD,call,2026-02-06
AAPL260206C00220000,2026-02-06 16:15:31+00:00,220.0,59.11,58.6,59.9,2.1100006,3.7017555,7.0,155.0,2.9746119384765626,True,REGULAR,USD,call,2026-02-06
AAPL260206C00222500,2026-02-06 15:23:24+00:00,222.5,56.41,55.95,57.5,2.7299995,5.085692,45.0,32.0,2.843752890625,True,REGULAR,USD,call,2026-02-06
AAPL260206C00225000,2026-02-06 15:34:41+00:00,225.0,54.61,53.45,54.85,3.4099998,6.6601562,50.0,207.0,2.685550161132813,True,REGULAR,USD,call,2026-02-06
AAPL260206C00227500,2026-02-06 16:40:04+00:00,227.5,51.9,51.2,52.4,1.9300003,3.8623178,54.0,32.0,2.658206479492188,True,REGULAR,USD,call,2026-02-06
AAPL260206C00230000,2026-02-06 16:40:04+00:00,230.0,49.5,48.8,49.85,2.0,4.2105265,57.0,692.0,2.556644233398437,True,REGULAR,USD,call,2026-02-06
AAPL260206C00232500,2026-02-02 20:06:51+00:00,232.5,37.02,46.2,47.55,0.0,0.0,2.0,883.0,2.4668007080078125,True,REGULAR,USD,call,2026-02-06
AAPL260206C00235000,2026-02-06 15:24:31+00:00,235.0,43.89,43.4,44.95,2.1899986,5.2517953,49.0,1126.0,2.252934055175781,True,REGULAR,USD,call,2026-02-06
