contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
GOOG260320C00075000,2026-01-06 18:05:43+00:00,75.0,239.52,247.25,250.75,0.0,0.0,65.0,170,2.1464890087890627,True,REGULAR,USD,call,2026-03-20
GOOG260320C00080000,2025-12-31 14:54:56+00:00,80.0,235.6,256.75,260.3,0.0,0.0,1.0,7,4.054936571960448,True,REGULAR,USD,call,2026-03-20
GOOG260320C00085000,2026-01-09 14:57:54+00:00,85.0,245.05,236.9,240.8,0.0,0.0,1.0,18,1.9130863720703126,True,REGULAR,USD,call,2026-03-20
GOOG260320C00090000,2025-09-05 14:13:29+00:00,90.0,146.92,157.25,158.8,0.0,0.0,1.0,12,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-20
GOOG260320C00095000,2025-12-12 16:53:28+00:00,95.0,215.23,230.15,234.25,0.0,0.0,1.0,0,2.4272500256347658,True,REGULAR,USD,call,2026-03-20
GOOG260320C00100000,2026-02-03 17:37:10+00:00,100.0,242.29,221.9,225.85,0.0,0.0,1.0,256,1.6987319750976564,True,REGULAR,USD,call,2026-03-20
GOOG260320C00105000,2025-12-03 17:27:44+00:00,105.0,216.83,207.45,211.35,0.0,0.0,20.0,293,1.0000000000000003e-05,True,REGULAR,USD,call,2026-03-20
GOOG260320C00110000,2025-12-05 15:05:22+00:00,110.0,215.5,216.5,220.45,0.0,0.0,6.0,0,2.3049358782958977,True,REGULAR,USD,call,2026-03-20
GOOG260320C00115000,2026-01-16 17:49:47+00:00,115.0,216.3,207.05,210.9,0.0,0.0,8.0,139,1.537111689453125,True,REGULAR,USD,call,2026-03-20
GOOG260320C00120000,2026-02-03 15:39:29+00:00,120.0,224.64,202.05,205.8,0.0,0.0,1.0,443,1.464358146972656,True,REGULAR,USD,call,2026-03-20
GOOG260320C00125000,2026-02-04 16:52:17+00:00,125.0,207.35,197.15,200.6,0.0,0.0,1.0,163,1.39453427734375,True,REGULAR,USD,call,2026-03-20
GOOG260320C00130000,2026-02-05 17:55:54+00:00,130.0,195.87,192.35,195.85,0.0,0.0,10.0,1853,1.3979522290039061,True,REGULAR,USD,call,2026-03-20
GOOG260320C00135000,2026-02-03 19:50:09+00:00,135.0,205.2,187.6,190.9,0.0,0.0,1.0,113,1.3774445190429687,True,REGULAR,USD,call,2026-03-20
GOOG260320C00140000,2026-02-04 20:04:59+00:00,140.0,194.08,183.05,186.0,0.0,0.0,3.0,1344,1.376956240234375,True,REGULAR,USD,call,2026-03-20
GOOG260320C00145000,2026-02-05 19:41:04+00:00,145.0,185.91,177.7,181.1,0.0,0.0,1.0,257,1.3032261401367182,True,REGULAR,USD,call,2026-03-20
GOOG260320C00150000,2026-02-05 14:56:39+00:00,150.0,173.18,172.9,175.6,-0.27000427,-0.15566692,1.0,612,1.226322227783203,True,REGULAR,USD,call,2026-03-20
GOOG260320C00155000,2026-02-03 20:42:52+00:00,155.0,186.0,167.9,171.1,0.0,0.0,3.0,450,1.2221718579101561,True,REGULAR,USD,call,2026-03-20
GOOG260320C00160000,2026-02-06 17:57:00+00:00,160.0,165.8,162.8,166.3,-7.5399933,-4.3498287,13.0,807,1.1828654138183592,True,REGULAR,USD,call,2026-03-20
GOOG260320C00165000,2026-02-05 20:33:29+00:00,165.0,157.3,157.8,161.2,-9.0,-5.4119062,7.0,662,1.1296430236816408,True,REGULAR,USD,call,2026-03-20
